# Zc 	 Nc 	 t0 (s) 	 elapsed time (s) 	 F (Hz) 
1 	      0.000 	            0.0000035 	            0.0000000 	            0.0000000 
2 	      0.500 	            0.0000213 	            0.0000179 	        27932.9608939 
3 	      1.000 	            0.0000392 	            0.0000179 	        27932.9608939 
4 	      1.500 	            0.0000572 	            0.0000179 	        27932.9608939 
5 	      2.000 	            0.0000750 	            0.0000179 	        27932.9608939 
6 	      2.500 	            0.0000929 	            0.0000179 	        27932.9608939 
7 	      3.000 	            0.0001108 	            0.0000179 	        27932.9608939 
8 	      3.500 	            0.0001288 	            0.0000179 	        27932.9608939 
9 	      4.000 	            0.0001467 	            0.0000179 	        27932.9608939 
10 	      4.500 	            0.0001646 	            0.0000180 	        27915.6327543 
11 	      5.000 	            0.0001824 	            0.0000178 	        27932.9608939 
12 	      5.500 	            0.0002004 	            0.0000180 	        27918.7817259 
13 	      6.000 	            0.0002182 	            0.0000178 	        27932.9608939 
14 	      6.500 	            0.0002362 	            0.0000180 	        27920.9621993 
15 	      7.000 	            0.0002541 	            0.0000179 	        27921.8189071 
16 	      7.500 	            0.0002721 	            0.0000179 	        27922.5614296 
17 	      8.000 	            0.0002899 	            0.0000179 	        27923.2111693 
18 	      8.500 	            0.0003079 	            0.0000179 	        27923.7844941 
19 	      9.000 	            0.0003257 	            0.0000179 	        27924.2941359 
20 	      9.500 	            0.0003437 	            0.0000179 	        27924.7501470 
21 	     10.000 	            0.0003615 	            0.0000179 	        27925.1605697 
22 	     10.500 	            0.0003795 	            0.0000179 	        27925.5319149 
23 	     11.000 	            0.0003973 	            0.0000179 	        27925.8695100 
24 	     11.500 	            0.0004153 	            0.0000179 	        27926.1777562 
25 	     12.000 	            0.0004331 	            0.0000179 	        27926.4603212 
26 	     12.500 	            0.0004511 	            0.0000179 	        27926.7202860 
27 	     13.000 	            0.0004689 	            0.0000179 	        27926.9602578 
28 	     13.500 	            0.0004869 	            0.0000179 	        27927.1824576 
29 	     14.000 	            0.0005047 	            0.0000179 	        27927.3887891 
30 	     14.500 	            0.0005226 	            0.0000179 	        27927.5808937 
31 	     15.000 	            0.0005405 	            0.0000179 	        27927.7601936 
32 	     15.500 	            0.0005585 	            0.0000180 	        27922.8967754 
33 	     16.000 	            0.0005763 	            0.0000178 	        27928.0851807 
34 	     16.500 	            0.0005942 	            0.0000179 	        27928.2329045 
35 	     17.000 	            0.0006122 	            0.0000180 	        27923.7844941 
36 	     17.500 	            0.0006302 	            0.0000179 	        27924.0465933 
37 	     18.000 	            0.0006481 	            0.0000179 	        27924.2941359 
38 	     18.500 	            0.0006660 	            0.0000179 	        27924.5283019 
39 	     19.000 	            0.0006838 	            0.0000179 	        27924.7501470 
40 	     19.500 	            0.0007018 	            0.0000179 	        27924.9606186 
41 	     20.000 	            0.0007197 	            0.0000179 	        27925.1605697 
42 	     20.500 	            0.0007376 	            0.0000179 	        27925.3507696 
43 	     21.000 	            0.0007554 	            0.0000179 	        27925.5319149 
44 	     21.500 	            0.0007734 	            0.0000179 	        27925.7046370 
45 	     22.000 	            0.0007913 	            0.0000179 	        27925.8695100 
